name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
Cozy 2 Bedroom  1 Bathroom Duplex,Entire home/apt,95,30,17,0.28
TerryTown Austin Walk to ACL,Entire home/apt,300,1,0,
South Austin Retreat,Entire home/apt,200,1,3,0.05
Key to Austin Rock Vibe Suite,Entire home/apt,110,2,128,2.09
Room in N. Austin near Cedar Park,Private room,45,1,0,
Luxurious Downtown Apartment -SXSW!,Entire home/apt,333,1,1,0.02
Summer's End - South Austin Retreat,Entire home/apt,90,30,2,0.29
Cozy small home 3 mil east downtown,Entire home/apt,80,3,1,0.02
Gorgeous Travis Heights Home,Entire home/apt,325,2,14,0.34
2 miles from dt  bike to boardwalk!,Entire home/apt,109,2,5,0.08
Last Minute Studio Apartment,Entire home/apt,250,1,0,
Beautiful  quiet South Austin oasis,Entire home/apt,200,31,36,0.6
78704plex,Entire home/apt,189,1,0,
Walk to Park  Springs  Trails  River  2 mi to DT!,Entire home/apt,95,30,1,0.04
Designer home near downtown Austin!,Entire home/apt,1000,1,0,
Private Travis Heights Guest Suite,Entire home/apt,84,2,267,4.36
Cozy bedroom in south Austin,Private room,36,30,52,0.85
St.Eds Secret Casita off S.Congress,Entire home/apt,70,2,195,3.19
Eastside Charmer  Close to F1,Entire home/apt,700,1,0,
Room in Austin (6 miles from Down),Private room,99,1,0,
LARGE 1/1 with HUGE couch.  Slps 3,Entire home/apt,250,2,2,0.03
Clarksville Cottage - Maguey House,Entire home/apt,168,30,10,0.17
The Green Cedar Condo - Pool & Massage Chair!,Entire home/apt,107,30,17,0.28
Guadalupe: Tech Professionals in North Loop,Private room,37,29,10,0.17
Guadalupe: Communal Living north of Downtown,Private room,37,29,1,0.06
Austin with Lake Austin access,Entire home/apt,295,1,0,
Quiet Captivating Clarksville Studio,Entire home/apt,58,1,368,6.03
Private Room and Bath,Private room,35,1,1,0.02
House conveniently located south,Entire home/apt,400,1,0,
Beautiful room in south Austin,Private room,350,1,0,
Cozy Studio on Soco,Entire home/apt,315,1,0,
2/1 N Central duplex,Entire home/apt,136,2,49,0.84
Cenote one bedroom,Entire home/apt,110,1,256,4.21
Lost Horizon Escape near the Domain and Arboretum,Entire home/apt,201,2,234,3.94
NW Austin 2bed/2bath Great Location,Entire home/apt,97,3,13,0.21
Modern 3 Bdrm Condo off S 1st,Entire home/apt,824,3,2,0.04
Easy Access to Austin Living,Private room,49,2,174,3.03
Spacious & Funky One Bedroom Apt in Great Location,Entire home/apt,70,1,6,0.16
1 Comfortable  Well-Sized Room!,Private room,150,3,0,
Upscale Austin Apt for Rent,Entire home/apt,350,3,1,0.02
Best Location in Austin! #116,Entire home/apt,236,2,8,0.13
Best location in Austin! #214,Entire home/apt,236,2,8,0.14
Best location in Austin! #218,Entire home/apt,236,2,10,0.17
Quaint and Cozy Treehouse,Entire home/apt,94,1,0,
New Modern Condo on South Congress,Entire home/apt,336,2,2,0.04
sold house moved away; how do I deactivate?,Shared room,120,1,0,
Trees  Trails and NW Austin...,Private room,76,1,0,
North Austin Apartment,Entire home/apt,30,150,1,0.02
Relax in an Executive Studio Guesthouse,Entire home/apt,112,2,133,2.21
Weekend Room and Living Room for ACL,Private room,108,2,0,
Quiet Comfort  Convenient Location - King,Private room,100,5,34,0.57
Nest Nouveau: Central Eastside Apartment with a Covered Deck,Entire home/apt,151,2,226,4
Ultra modern 3/3 close to downtown,Entire home/apt,500,4,12,0.2
Cozy Travis Heights Apartment,Entire home/apt,200,1,0,
Relax at Casa Moderna filled with Natural Light,Entire home/apt,186,3,137,2.35
Funky East Side Charmer,Entire home/apt,300,3,3,0.05
Cool  centrally located  Austin apt,Private room,46,1,1,0.02
Loft On Congress - Urban Retreat! WalkerVR *3 000 sq feet w/ Game Room*,Entire home/apt,634,2,21,0.39
Rockstar condo in heart of downtown,Entire home/apt,95,180,0,
Red Fence Farm Guest House,Entire home/apt,225,2,84,1.5
Quiet Condo in West Austin Hills,Entire home/apt,300,1,0,
In the middle of the fun!,Entire home/apt,650,1,0,
North Campus - Hyde Park Apartment,Private room,49,1,4,0.07
Guadalupe: New in town? This is the right place,Private room,37,29,2,0.03
Duplex in Trendy East Austin!,Entire home/apt,90,7,0,
❤ of Downtown Austin | GATED PARKING INCLUDED!,Entire home/apt,105,1,296,4.9
Convenient Riverview St 5 mins Dwnt,Entire home/apt,255,3,48,0.83
Lakeway home - perfect for families,Entire home/apt,500,3,6,0.11
Shared Living Room - Mueller,Shared room,125,1,0,
Newly built 1bed/1bath,Entire home/apt,100,1,4,0.07
Austin Cool House near Lake Travis with pool,Entire home/apt,1123,2,1,0.02
Excellent Location! Great Space,Entire home/apt,275,2,0,
Luxury 2 Bed/2 Bath Apartment,Entire home/apt,200,7,0,
Second Bedroom,Private room,75,1,1,0.02
Bright  Luxurious  Colonial-style Home Downtown,Entire home/apt,1106,2,65,1.16
Mueller Living,Entire home/apt,150,2,98,1.69
Luxury Home -View  Pool & Spa,Entire home/apt,1242,30,14,0.25
NEW & BIG Modern House + High Ceilings & Windows.,Entire home/apt,200,90,18,0.33
Midtown Modern Town Home Near MetroRail,Entire home/apt,170,3,47,0.79
Your Getaway Spot: Travis Heights Treehouse Loft,Entire home/apt,100,2,22,0.4
East Austin House,Entire home/apt,185,1,18,0.32
Enfield Estate - STAY HERE! WalkerVR ENFIELD ESTATE *Historical Home w/ Pool  Hot Tub*,Entire home/apt,3995,2,9,0.16
My room,Private room,89,1,1,0.02
Two Bedroom Apartment near UT,Entire home/apt,100,1,0,
2 bdrm Townhouse in Southeast Austin,Entire home/apt,65,1,2,0.07
Cute room in North-Central Austin,Private room,38,1,41,0.69
Historic Home in Hip Neighborhood,Private room,43,31,0,
*BEST DOWNTOWN VIEWS* Great location!!!,Entire home/apt,100,30,13,0.22
VIP Downtown Luxury House with Hot Tub+Golf Green,Entire home/apt,900,2,79,1.39
dtown loft w W bed and organics,Shared room,700,1,1,0.02
The Capitol Loft at the Austin Convention Center,Entire home/apt,137,2,90,1.61
4/3 Lux Hm w/pool 3mls to Dwntwn SXSW *LOCATION*,Entire home/apt,700,2,80,1.41
Anaiah Johnson,Entire home/apt,135,1,0,
East Austin Azure,Entire home/apt,449,2,153,2.58
Spacious apartment near downtown,Entire home/apt,90,3,1,0.02
Deerfield: Seven People - Great if New to Town,Private room,37,30,6,0.11
Pets Allow  Cozy master bedroom  near Apple/Amazon,Private room,156,1,14,0.32
Your Home Away From Home,Entire home/apt,54,3,125,2.11
Private Room & Bath in 78704,Private room,99,2,0,
Bing Huang,Private room,20,20,3,0.05
Lovely Home with great views - POOL/SPA sleeps 14!,Entire home/apt,532,2,84,1.5
Charming home located near The University of Texas,Private room,27,2,8,0.18
Bali Meets Austin in Artist’s Loft Home,Entire home/apt,738,28,10,0.17
Private Austin Clarksville Studio,Entire home/apt,92,1,199,3.43
The Cozy Studio (extended stay friendly),Entire home/apt,89,2,57,1.03
Charming 1940s Eastside Home,Entire home/apt,79,1,10,0.17
2 bedroom and loft 1 mile from SXSW,Entire home/apt,300,3,1,0.02
Glamping in Central Austin Heating for Cool Nights,Private room,40,1,28,0.5
East Austin Bungalow for SXSW,Private room,80,1,1,0.02
Sunny Garden Bungalow,Entire home/apt,78,1,0,
Spacious  bright 1-bedroom near Town Lake!,Entire home/apt,80,2,6,0.15
Sleek Space in the Heart of SOCO!,Entire home/apt,85,90,4,0.07
Cozy Riverwalk Apartment,Entire home/apt,400,3,7,0.12
Clean  Comfy and Fully Stocked Hyde Park Studio 2,Entire home/apt,80,2,115,2.02
Sunny  space with POOL! Sleeps 14  Close to it all,Entire home/apt,496,2,61,1.09
Beautiful Rosedale Craftsman Home,Entire home/apt,689,1,10,0.18
1/1 guesthouse  walk to downtown!,Entire home/apt,80,1,85,1.46
Spacious Back House in Rosedale,Entire home/apt,84,2,179,3.08
Two Levels of Living in Allandale,Entire home/apt,245,2,29,0.51
Walk to SXWS - cozy apt.,Entire home/apt,200,2,2,0.04
Charming cottage,Entire home/apt,150,1,58,0.98
4 BR 4 BTH in Heart of Austin,Entire home/apt,1200,1,1,0.02
WELL LOCATED 2BR SoCo Apartment,Entire home/apt,400,1,1,0.02
Charming Casita in the Hill Country,Entire home/apt,105,2,111,1.9
Central Bungalow w/ Downtown Views,Entire home/apt,450,4,71,1.3
Ranch charmer off SoCo for SXSW,Entire home/apt,495,3,2,0.03
Small Home 78745 / 5m to Downtown,Entire home/apt,90,1,1,0.02
Beautiful Central One Bedroom,Entire home/apt,200,2,25,0.57
Perfect Spot super close to Downtown.,Entire home/apt,50,22,55,1.15
Lake Austin  Eanes  30 days or more,Entire home/apt,116,30,0,
One bedroom duplex in Hyde Park,Entire home/apt,84,1,0,
Cozy House for the Perfect Get Away,Entire home/apt,650,2,0,
Casita de Corazon: Everything at your doorstep!,Entire home/apt,146,30,29,0.8
Clarksville gem,Private room,301,1,4,0.07
Cozy room in 3bdr Clarksville Farm,Private room,300,1,12,0.2
#Locals,Entire home/apt,563,4,1,0.02
★Peaceful Downtown Getaway★Walk Everywhere★,Entire home/apt,120,1,388,7.11
Charming Rosedale Home Sleeps 12!,Entire home/apt,925,1,8,0.14
Hancock Modern Family friendly with toilet paper!,Entire home/apt,221,3,48,0.86
Greenbelt home - hot tub- Google Fiber-office,Entire home/apt,1360,30,4,0.07
Curtained semi-Private Room for 9-5 Employed Guest,Private room,29,28,16,0.28
Austin/UT Events/internships/Next to UT&1.3 mi DTA,Entire home/apt,118,2,23,0.44
Side City View,Private room,60,1,7,0.26
Spacious Lake Austin Home,Entire home/apt,625,1,0,
Hyde Park Historic District Home,Entire home/apt,137,5,52,0.93
Zen Cottage in Trendy East Austin by downtown,Entire home/apt,300,3,5,0.09
Travis Heights Apartment,Entire home/apt,305,1,0,
Cozy apartment near downtown!,Entire home/apt,33,3,2,0.03
The Graduate by Lodgewell>>Space 4 the whole fam!,Entire home/apt,388,30,90,1.63
Cool Artistic Treehouse Cabin,Entire home/apt,99,1,319,5.49
Sanitized for Covid! Double Rooftop & New!,Entire home/apt,160,3,149,2.57
Funky Apartment Near Downtown and Zilker Park!,Entire home/apt,75,4,11,0.24
3/3 Spacious East Austin House,Entire home/apt,351,6,13,0.23
Barton Springs Bungalow Hideaway!,Private room,62,2,11,0.2
Conveniently located  updated condo,Entire home/apt,87,1,2,0.04
Your Modern + Comfy Home,Private room,71,2,11,0.39
☀Eclectic  Vibrant  Urban Basecamp☀ Sleeps 4,Entire home/apt,110,2,54,1.47
Bright and Modern Guest House in Historic SoCo,Entire home/apt,89,2,46,0.84
South Austin Peace & Comfort w/ Dog-friendly Yard,Entire home/apt,65,30,47,0.82
Master Bedroom with private bath,Private room,50,1,3,0.05
Downtown East Austin GEM!,Entire home/apt,900,2,5,0.09
Bouldin Flat with patio,Entire home/apt,110,2,161,2.81
Modern. Texas living. Amazing deal.,Private room,19,1,0,
Spacious Condo Near Downtown Austin,Entire home/apt,250,4,1,0.02
North Austin Allendale Neighborhood,Entire home/apt,70,1,2,0.04
Bouldin Creek Cottage,Entire home/apt,91,3,157,2.8
Pool house,Entire home/apt,80,2,52,1.06
S. Austin Suite close-in with pool,Entire home/apt,82,2,293,5.16
So Co Guest House Studio  walk everywhere,Entire home/apt,75,21,1,0.05
Musician's House- 10 min to DT SXSW,Entire home/apt,350,2,0,
Affordable Austin Abode- 8 Miles from Downtown!,Entire home/apt,187,1,38,1.53
South Austin Room  15 Mins from DT,Private room,76,2,3,0.05
1 Br Elegant Downtown Condo - SXSW,Entire home/apt,900,1,0,
Downtown Location  Walk Everywhere!,Entire home/apt,1400,2,0,
Nice quiet apartment near park,Entire home/apt,47,1,0,
Travis Heights Spacious Condo,Entire home/apt,100,4,1,0.02
Private room close to downtown,Private room,28,1,4,0.07
Enjoy the Scenery from Palatial Estate House,Entire home/apt,500,2,43,0.77
Sunny room in East Austin,Private room,65,1,53,0.92
3/2 with Pool in Zilker-Walk to Bars & Restaurants,Entire home/apt,688,2,12,0.23
Poolside Casita,Entire home/apt,250,2,5,0.09
Cozy studio,Entire home/apt,75,1,0,
Walk to SoCo Craftsman - 4/5 BR.,Entire home/apt,500,2,1,0.02
Master Suite in South Austin,Private room,29,3,4,0.09
Cozy Landing Pad,Private room,28,1,215,3.71
Excellent base camp for Austin fun,Private room,68,1,181,3.18
1 Bedroom condo in South Austin,Entire home/apt,120,2,1,0.02
Central 3br Townhome  Walk to shops  cafes  bars,Entire home/apt,450,2,24,0.42
Soco BedroomBathPatio private entry,Private room,200,2,0,
3 BR  2 BA  SoCo  Heart of Austin.,Entire home/apt,385,3,8,0.14
4/2.5 Near Downtown Family Friendly House Sleeps 8,Entire home/apt,295,2,25,0.52
Beautiful Modern Remodel in Austin!,Entire home/apt,259,2,90,1.58
3/2 Updated Bungalow  Steps from South Congress!,Entire home/apt,300,7,7,0.13
Train at Doorstep 1 Bedroom Apt.,Entire home/apt,78,2,8,0.15
New! 2 bdrms  close to metrorail!,Private room,100,30,3,0.06
Cute & Convenient East Austin Home,Entire home/apt,385,6,0,
Clean & Newly Remodeled House,Entire home/apt,425,3,1,0.13
Live in a Light and Airy Lakeside Loft in Holly,Entire home/apt,81,1,214,3.75
Apartment close to downtown,Entire home/apt,275,1,0,
Charming Circle C Home,Private room,115,1,0,
Farmhouse In The City  Your SXSW Paradise,Private room,150,3,1,0.02
3/2 HOME 2mi to downtown for SXSW!,Entire home/apt,495,5,0,
1 BR/Bath Clarksville Private Entry,Private room,149,3,13,0.23
Central East/Downtown,Private room,125,3,13,0.23
Tarrytown Duplex close to downtown,Entire home/apt,200,2,1,0.02
1 Bedroom Apt on South Congress,Private room,89,2,1,0.02
Clean + Modern Private Studio,Entire home/apt,45,2,225,4
Immaculate Home  sleeps 7 separately,Entire home/apt,2300,4,0,
Beautifully Open 4 Bedroom Home,Entire home/apt,365,2,251,4.95
MoChaca...South Austin Bungalow-SXSW ACL Formula 1,Entire home/apt,400,2,35,0.62
East Side Condo,Entire home/apt,457,2,1,0.02
Spectacular View House on Buffalo Gap near Sail & Ski Marina,Entire home/apt,396,5,14,0.24
Central Austin 1-1 Apt & Porch,Entire home/apt,99,1,2,0.04
Bungalow available for SXSW!,Entire home/apt,345,1,0,
Howdy Haven TiPi,Entire home/apt,150,2,3,0.06
Bed next to downtown for SXSW,Shared room,160,1,1,0.02
Awesome house for SXSW!,Entire home/apt,999,1,2,0.04
Modern Farmhouse,Entire home/apt,1700,2,0,
Zat,Private room,500,1,0,
East Austin New Townhouse  perfect for SXSW,Entire home/apt,900,2,0,
Warm Family-Friendly Retreat in Mueller,Entire home/apt,295,2,54,0.95
2015 Built House in E. Austin-SXSW,Entire home/apt,850,5,0,
Sunny Apt with Garden Patio One Mile to SoCo and Downtown,Entire home/apt,133,2,118,2.14
Loft walking distance of SXSW,Entire home/apt,449,1,0,
S. Austin Apt.5 min walk to dt/zilk,Entire home/apt,350,1,4,0.07
Prime SXSW Location {Sleeps 6},Entire home/apt,500,3,1,0.03
Mid-Century Modern near downtown,Entire home/apt,199,2,6,0.12
Crisp North Austin studio,Entire home/apt,99,2,21,0.37
2BR East Austin Cottage,Entire home/apt,250,1,0,
Light-Filled Modern 2-Bedroom House,Entire home/apt,450,2,1,0.02
Modern Central East/DT Home,Entire home/apt,1929,3,29,0.51
1 Bed/ 1 Bath,Entire home/apt,100,1,0,
Hidden Oasis~ East/Central  close to downtown,Entire home/apt,125,2,255,4.47
Cozy  modern town home! Near train!,Private room,55,30,4,0.07
Spacious Downtown Apartment,Entire home/apt,600,1,5,0.09
In the heart of South Congress,Entire home/apt,625,3,5,0.09
Tree House Studio BNB for ACL  SXSW,Entire home/apt,185,2,29,0.52
Cute 1BR apartment in Clarkesville,Entire home/apt,300,1,1,0.02
Handmade Eastside Cabin,Entire home/apt,90,1,182,3.2
Sunny home in quiet neighborhood  w/ full kitchen  fenced yard  & backyard deck!,Entire home/apt,230,2,6,0.11
Cozy apartment near Downtown Austin,Entire home/apt,73,60,21,0.37
Historic 1930s Craftsman Home,Entire home/apt,111,2,7,0.12
SXSW SoCo Hideaway,Entire home/apt,800,1,0,
Cozy apartment in Hyde Park,Entire home/apt,180,1,2,0.04
North Austin corporate housing,Entire home/apt,250,7,0,
Top-Floor Room in an Artsy  Modern Home,Private room,67,1,258,4.56
Cool Townhome,Entire home/apt,350,5,0,
REMODELED FIRST FLOOR 2/2 MINUTES FROM DOWNTOWN!,Entire home/apt,113,1,245,4.29
Stellar private rm & bath  ez city access,Private room,39,30,24,0.43
Your South 1st Home away from Home,Entire home/apt,189,3,2,0.04
Central East - Close to EVERYTHING!,Entire home/apt,185,2,12,0.27
Cute Eastside Rainbow cottage,Entire home/apt,200,2,30,1.97
Private Central Austin Guesthouse,Entire home/apt,86,21,231,4.05
Private Bedroom at North Austin,Private room,45,2,1,0.02
Minutes From SXSW Action! Up to 8+,Entire home/apt,199,1,1,0.02
East Austin Cottage for SXSW,Entire home/apt,1200,3,0,
Modern farmhouse with parking,Private room,80,2,3,0.06
Modern Mid-Century Ranch,Entire home/apt,314,1,1,0.02
Sunny  spacious South Austin home,Entire home/apt,120,2,19,0.34
North Hyde Park Metrohouse,Entire home/apt,251,7,112,1.98
Swanky Townhouse for SXSW!,Entire home/apt,250,1,1,0.02
Cozy Eastside House Near Trail,Entire home/apt,554,5,11,0.2
Breezy retro loft in South Austin!,Entire home/apt,100,1,5,0.09
Comfortable East Austin house close to downtown,Entire home/apt,89,2,5,0.09
Soco Living!  SXSW,Entire home/apt,375,2,4,0.07
Modern Home in East Austin,Entire home/apt,195,3,3,0.12
Modern Garden Apartment Close to Zilker Park,Entire home/apt,106,1,319,5.71
Modern One Bedroom Downtown Austin,Entire home/apt,325,3,0,
The Rad Pad,Entire home/apt,350,1,1,0.02
Downtown One Bedroom,Entire home/apt,250,1,0,
Modern Condo in Central Austin,Entire home/apt,200,2,0,
Charming Cottage near UT,Entire home/apt,258,2,32,0.57
Private Bedroom/Bath,Private room,200,1,0,
Comfy 2bed/2bth  perfect for SXSW,Entire home/apt,599,3,1,0.02
Bed  Bath & Kitchenette - Dogs OK - Month of March,Private room,81,30,0,
Minutes to Downtown  Near Lakes Austin and Travis!,Entire home/apt,195,30,2,0.05
Large 1 Bedroom apt Central Austin,Entire home/apt,94,2,11,0.19
Charming 4/2 house in Soco Austin,Entire home/apt,215,30,102,1.82
Quadrangle Condominium  Unit 12,Entire home/apt,150,175,5,0.09
CO|HAB -Co-living for the Wild Ones,Shared room,400,1,0,
Prvt Q~Niche~ACL~SXSW~Zlkr/Grnblt/UT,Private room,80,1,2,0.04
Luxury Garden Home,Entire home/apt,1000,3,0,
Cozy  Clean  Smoke Friendly,Private room,100,1,0,
Downtown Luxury Apt for SXSW,Entire home/apt,575,1,1,0.02
Attractive and Convenient Location,Private room,75,2,19,0.34
Private Suite  South Central Austin,Entire home/apt,75,2,137,2.44
SXSW: Charming 2/1 near North Loop,Entire home/apt,150,1,1,0.02
East Austin Cottage,Entire home/apt,100,1,1,0.02
Trendy Travis Heights Oasis Up On The Hill,Entire home/apt,120,3,60,1.06
Private Lakeway Home Atop a Hill,Entire home/apt,170,28,12,0.21
Modern meets east austin,Entire home/apt,500,2,0,
Zilker Casita-Clean & Bright Studio Apt.,Entire home/apt,95,3,56,1
! SXSW BIG 1920'S HOUSE !,Entire home/apt,420,3,0,
